Project Name,Checkpoint Name,Created On,File Name,Lines*,Statements,Percent Branch Statements,Method Call Statements,Percent Lines with Comments,Classes and Interfaces,Methods per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
MyProject,Baseline,29 十一月 2016,src\edu\shanda\test\course\ant\demo\Calculator.java,6,4,0.0,0,0.0,1,1.00,1.00,5,Calculator.add(),1,6,2,0.75,1.00,2,1,1,0,0,0,0,0,0,0
MyProject,Baseline,29 十一月 2016,test\edu\shanda\test\course\ant\demo\CalculatorTest.java,12,9,0.0,3,0.0,1,1.00,4.00,10,CalculatorTest.test(),1,11,2,1.00,1.00,4,1,4,0,0,0,0,0,0,0
